k,seed,dwell_bin,room_gen,room_seen,within_r2,repetition,n
1,4,0-2,0.5667859272510436,0.578780487804878,0.43602315626210597,nan,225
1,4,2-5,0.5133333333333334,0.6466666666666667,0.8780058151425614,nan,332
1,4,5-10,0.5341084965639421,0.6368484848484848,0.9559341366080556,0.8613508470121007,544
1,4,10-inf,0.49023953626169875,0.5092669432918395,0.9629790690235962,0.9818345420668928,15185
1,5,0-2,0.5649280859807175,0.6178048780487805,0.29044362063542534,nan,248
1,5,2-5,0.5107683000604959,0.5313974591651544,0.7779619937388688,nan,356
1,5,5-10,0.5260391782130912,0.5897515527950311,0.9086672708830805,0.8107098771881952,577
1,5,10-inf,0.4939175247502276,0.5184976495413391,0.9546375549401283,0.9803399949906586,14746
1,6,0-2,0.4855897914721444,0.5005398110661268,0.48612059959498743,nan,238
1,6,2-5,0.5426065162907268,0.5280701754385965,0.9184732533317979,0.9030202347313225,350
1,6,5-10,0.541978021978022,0.6018315018315018,0.9436183068898908,0.8221970056324098,563
1,6,10-inf,0.4928930927353411,0.5222222222222221,0.9776544517855811,0.9850806163753184,14597
1,7,0-2,0.5278829828914718,0.6249471458773785,0.3658657762366031,nan,232
1,7,2-5,0.6,0.6,0.167444220156629,nan,342
1,7,5-10,0.6010678001244039,0.6278021978021978,0.9384222318701525,0.8231307180017071,550
1,7,10-inf,0.49236186269205157,0.5373621613163972,0.9360153850693376,0.9809510446624684,13667
3,0,0-2,0.5314467253176931,0.5705705705705706,0.3005848449641562,nan,260
3,0,2-5,0.6565338923829489,0.5895877009084557,0.8810908181695364,nan,378
3,0,5-10,0.5755248636823718,0.5536585365853659,0.42042956345246835,0.8808532030868088,591
3,0,10-inf,0.5137872862870734,0.5142058104192613,0.9826231015617394,0.9889122336441911,14033
3,1,0-2,0.5314441591784338,0.6181818181818182,0.6581573939184244,nan,229
3,1,2-5,0.5524038461538462,0.5586538461538462,0.913238632841505,0.9700796742957761,333
3,1,5-10,0.5063220314510721,0.6018518518518519,0.9678038566103695,0.9231253157776462,548
3,1,10-inf,0.49345880702924927,0.5360256104128471,0.9363868301721483,0.9928516306995608,14919
3,2,0-2,0.5897085642767745,0.5812312312312312,0.6206753247155996,nan,218
3,2,2-5,0.5403367003367003,0.5624915824915825,0.7054989262404813,0.9604932772331708,323
3,2,5-10,0.5383034921082188,0.5905771195097038,0.4627326051304751,0.932200484813696,523
3,2,10-inf,0.5176490149408915,0.5166751818854065,0.935622126154627,0.9916957718657777,14269
3,3,0-2,0.6056756756756757,0.6010452961672474,0.5546912199828101,nan,226
3,3,2-5,0.5068100358422939,0.5161290322580645,0.9115140695523936,0.9332765205325861,336
3,3,5-10,0.5602902414275508,0.5743838383838384,0.9672683697632563,0.9134797652872333,544
3,3,10-inf,0.515282669596408,0.5196007755468516,0.9813393962627444,0.9916184195854163,13245
