layout,variant,seed,step,b1_true,b1_hat,b1_conf,b1_correct,metric,decode_r2,n_cells
figure8,,3,32000,2,1,1.0567428569462773,0,0.7364926548906011,0.9980598458451724,292
figure8,,3,4000,2,2,1.2472660705364718,1,0.6407584239973069,0.9935696132299416,292
figure8,,3,500,2,1,1.0870279669418363,0,0.308968253232159,0.929728442156876,292
figure8,,3,8000,2,0,1.25445397164553,0,0.6957277262500839,0.9968086695343141,292
figure8,,3,80000,2,1,1.0204169950743118,0,0.7379621329278057,0.9975160885934127,292
figure8,,3,final,2,1,1.0356624707365707,0,0.7379765930366035,0.9975235728931974,292
figure8,,4,0,2,1,1.122952047610779,0,0.1938100324579803,0.799466756300443,292
figure8,,4,1000,2,1,1.341852474957714,0,0.40232828254989833,0.9205530508350229,292
figure8,,4,16000,2,1,1.0336111019395096,0,0.7031542893090517,0.9973017361184542,292
figure8,,4,2000,2,1,1.429620186110653,0,0.535835224616659,0.9817855628134993,292
figure8,,4,250,2,0,1.1009525209250186,0,0.2145168358477509,0.7958190813580854,292
figure8,,4,32000,2,0,1.1469751904522865,0,0.6992064012408497,0.997186987373941,292
figure8,,4,4000,2,1,1.152973540149337,0,0.6248650969685835,0.9928014042277168,292
figure8,,4,500,2,2,1.111958641902015,1,0.2698884246516002,0.8735825006526236,292
figure8,,4,8000,2,0,1.07876607375785,0,0.678990220498248,0.9967811291420803,292
figure8,,4,80000,2,0,1.2087382287683688,0,0.6694190497722291,0.9970204797011091,292
figure8,,4,final,2,0,1.1970724398375725,0,0.6693483718310754,0.9969640591177136,292
figure8,,5,0,2,1,1.0368953501787292,0,0.20183963595279078,0.7658932750346639,292
figure8,,5,1000,2,1,1.1064483486416783,0,0.427134047472429,0.9462063746002454,292
figure8,,5,16000,2,0,1.2239205766696084,0,0.7001198239061099,0.9972470089076564,292
figure8,,5,2000,2,3,1.4728508120184258,0,0.5187653885911926,0.9824429882714398,292
figure8,,5,250,2,1,1.1267920017726738,0,0.20692167032983744,0.7522293006065701,292
figure8,,5,32000,2,0,1.2208996589028898,0,0.723045609928129,0.9974146404748048,292
figure8,,5,4000,2,3,1.3185648837501383,0,0.6231183684665819,0.992773344745357,292
figure8,,5,500,2,1,1.0704514099021625,0,0.2600409088499255,0.8922587663639845,292
figure8,,5,8000,2,1,1.2037051459377335,0,0.6522304862100634,0.9958490735377087,292
figure8,,5,80000,2,0,1.040335618845075,0,0.7267513032767318,0.997603333200819,292
figure8,,5,final,2,0,1.030127955412693,0,0.7270062143693262,0.9976246028967932,292
figure8,,6,0,2,1,1.1352329828345895,0,0.26062141151890406,0.8552552794917819,292
figure8,,6,1000,2,1,1.6616783377249194,0,0.4011715939468702,0.9443674786570628,292
figure8,,6,16000,2,1,1.0048288391587448,0,0.6848719580777552,0.9970945334115214,292
figure8,,6,2000,2,3,1.458321297640665,0,0.5085868537496546,0.9817617138442593,292
figure8,,6,250,2,2,1.1287401186952244,1,0.2113304101641679,0.7857684821982565,292
figure8,,6,32000,2,1,1.101316002016995,0,0.6829302187400248,0.9978746908990841,292
figure8,,6,4000,2,1,1.202386777424539,0,0.5921068347452435,0.9917568662113299,292
figure8,,6,500,2,0,1.015763097046724,0,0.27643602474303,0.8683310198174405,292
figure8,,6,8000,2,1,1.0703122230377642,0,0.6647764528635278,0.9955377549944305,292
figure8,,6,80000,2,0,1.126807524331506,0,0.6866079817028897,0.9971943935944381,292
figure8,,6,final,2,0,1.11784997650863,0,0.6865941547983674,0.9971853093591421,292
figure8,,7,0,2,1,1.274596620337755,0,0.22490628949166616,0.7987618299136022,292
figure8,,7,1000,2,1,1.1174891790958137,0,0.42440260035060867,0.9564521610285265,292
figure8,,7,16000,2,1,1.0967368980802565,0,0.6948700971380602,0.9970012054094571,292
figure8,,7,2000,2,1,1.5420343240002852,0,0.5533917404808564,0.9844130596283847,292
figure8,,7,250,2,1,1.1747758492443319,0,0.21474848497078927,0.8174819261139443,292
figure8,,7,32000,2,0,1.14304008860802,0,0.7038766840905948,0.9973512018470343,292
figure8,,7,4000,2,2,1.133695010277538,1,0.6218320221851292,0.9922085196437769,292
figure8,,7,500,2,1,1.2959805688252508,0,0.27489276974884885,0.8842885317314533,292
figure8,,7,8000,2,0,1.1775708234766087,0,0.6686284443163483,0.9959932857874874,292
