condition,encoding,seed,group,m1,m2,bi_frac,raw_m1,raw_m2,raw_bi_frac,n_tuned,n_units,n_cells_vis,best_shift,pred_shift,rot_gain,corr_pred,corr_none,local_m1
s1,const,2,c4,0.0531,0.02112,0.18806,0.07012,0.02401,0.17478,114,500,324,3,3,0.72032,0.55718,-0.16314,0.3281
s1,const,3,c2,0.05233,0.02202,0.23724,0.07108,0.03245,0.24396,115,500,324,2,2,1.31607,0.6638,-0.65228,0.1982
s1,const,3,c4,0.05233,0.02202,0.23724,0.07108,0.03245,0.24396,115,500,324,3,3,0.74859,0.57103,-0.17757,0.32806
s1,const,4,c2,0.05332,0.0213,0.16474,0.05941,0.02882,0.24464,95,500,324,2,2,1.35026,0.6742,-0.67607,0.20347
s1,const,4,c4,0.05332,0.0213,0.16474,0.05941,0.02882,0.24464,95,500,324,3,3,0.73823,0.56006,-0.17816,0.33103
s1,const,5,c2,0.04972,0.01978,0.17866,0.06413,0.02649,0.20504,100,500,324,2,2,1.34605,0.66637,-0.67968,0.19991
s1,const,5,c4,0.04972,0.01978,0.17866,0.06413,0.02649,0.20504,100,500,324,3,3,0.77363,0.59876,-0.17488,0.33524
s1,const,6,c2,0.05146,0.02011,0.19061,0.06049,0.02499,0.21925,113,500,324,2,2,1.26405,0.62622,-0.63783,0.19824
s1,const,6,c4,0.05146,0.02011,0.19061,0.06049,0.02499,0.21925,113,500,324,3,3,0.70646,0.53812,-0.16833,0.32571
s1,const,7,c2,0.05337,0.02222,0.23381,0.05909,0.02771,0.27462,102,500,323,2,2,1.23163,0.62215,-0.60948,0.19976
s1,const,7,c4,0.05337,0.02222,0.23381,0.05909,0.02771,0.27462,102,500,323,3,3,0.71623,0.55665,-0.15958,0.32498
s1,const,8,c2,0.05321,0.02221,0.19971,0.05485,0.03017,0.276,100,500,324,2,2,1.25492,0.62409,-0.63083,0.19788
s1,const,8,c4,0.05321,0.02221,0.19971,0.05485,0.03017,0.276,100,500,324,3,3,0.72543,0.56418,-0.16124,0.32853
s1,const,9,c2,0.05269,0.01999,0.20805,0.07339,0.02679,0.18522,105,500,323,2,2,1.25849,0.62113,-0.63735,0.19815
s1,const,9,c4,0.05269,0.01999,0.20805,0.07339,0.02679,0.18522,105,500,323,3,3,0.74264,0.56434,-0.17829,0.3294
s2,full,0,c2,0.31142,0.21676,0.36014,0.31268,0.22511,0.36765,461,500,324,0,2,-0.93631,-0.23813,0.69818,0.36088
s2,full,0,c4,0.31142,0.21676,0.36014,0.31268,0.22511,0.36765,461,500,324,0,3,-0.75706,-0.09451,0.66256,0.41103
s2,full,1,c2,0.29986,0.21885,0.36215,0.30319,0.23238,0.37156,460,500,324,0,2,-0.89674,-0.21277,0.68397,0.35073
s2,full,1,c4,0.29986,0.21885,0.36215,0.30319,0.23238,0.37156,460,500,324,0,3,-0.74135,-0.0961,0.64524,0.40152
s2,full,2,c2,0.31094,0.21206,0.34255,0.31606,0.22302,0.35498,456,500,324,0,2,-0.90609,-0.23166,0.67444,0.35826
s2,full,2,c4,0.31094,0.21206,0.34255,0.31606,0.22302,0.35498,456,500,324,0,3,-0.73593,-0.08498,0.65095,0.40731
s2,full,3,c2,0.31338,0.22653,0.36942,0.31967,0.23795,0.37074,471,500,324,0,2,-0.95419,-0.23303,0.72116,0.36357
s2,full,3,c4,0.31338,0.22653,0.36942,0.31967,0.23795,0.37074,471,500,324,0,3,-0.82326,-0.12465,0.6986,0.41478
s2,full,4,c2,0.30157,0.20692,0.35324,0.30713,0.21372,0.35118,458,500,324,0,2,-0.89511,-0.21882,0.67629,0.34892
s2,full,4,c4,0.30157,0.20692,0.35324,0.30713,0.21372,0.35118,458,500,324,0,3,-0.73448,-0.0854,0.64907,0.40149
s2,full,5,c2,0.30382,0.2164,0.36797,0.30864,0.23132,0.37154,459,500,324,0,2,-0.91262,-0.21269,0.69993,0.35086
s2,full,5,c4,0.30382,0.2164,0.36797,0.30864,0.23132,0.37154,459,500,324,0,3,-0.76787,-0.10135,0.66652,0.39927
s2,full,6,c2,0.30948,0.21397,0.36001,0.31344,0.22702,0.36898,468,500,324,0,2,-0.96871,-0.25341,0.7153,0.3604
s2,full,6,c4,0.30948,0.21397,0.36001,0.31344,0.22702,0.36898,468,500,324,0,3,-0.76856,-0.09934,0.66922,0.41025
s2,full,7,c2,0.31014,0.21609,0.36173,0.31364,0.22547,0.36682,460,500,323,0,2,-0.90183,-0.21399,0.68783,0.35856
s2,full,7,c4,0.31014,0.21609,0.36173,0.31364,0.22547,0.36682,460,500,323,0,3,-0.74022,-0.09347,0.64675,0.41211
s2,full,8,c2,0.30925,0.20824,0.34681,0.3149,0.21782,0.34561,454,500,324,0,2,-0.93114,-0.24484,0.6863,0.35594
s2,full,8,c4,0.30925,0.20824,0.34681,0.3149,0.21782,0.34561,454,500,324,0,3,-0.71425,-0.07637,0.63788,0.4091
s2,full,9,c2,0.31373,0.21549,0.35007,0.31868,0.22821,0.34956,449,500,323,0,2,-0.92293,-0.23594,0.687,0.36269
s2,full,9,c4,0.31373,0.21549,0.35007,0.31868,0.22821,0.34956,449,500,323,0,3,-0.76395,-0.097,0.66695,0.4095
s2,axis,0,c2,0.00893,0.4117,0.99646,0.04385,0.41335,0.94923,397,500,324,2,2,0.77981,0.99103,0.21123,0.194
s2,axis,0,c4,0.00893,0.4117,0.99646,0.04385,0.41335,0.94923,397,500,324,2,3,-0.58463,-0.2222,0.36243,0.32052
s2,axis,1,c2,0.00743,0.4243,0.99811,0.03182,0.42912,0.97867,391,500,324,2,2,0.78187,0.98833,0.20646,0.19762
s2,axis,1,c4,0.00743,0.4243,0.99811,0.03182,0.42912,0.97867,391,500,324,2,3,-0.57046,-0.20122,0.36924,0.32205
s2,axis,2,c2,0.00907,0.41421,0.99806,0.04303,0.41595,0.95876,373,500,324,2,2,0.80432,0.98876,0.18444,0.20002
s2,axis,2,c4,0.00907,0.41421,0.99806,0.04303,0.41595,0.95876,373,500,324,0,3,-0.53282,-0.18235,0.35047,0.32981
s2,axis,3,c2,0.00809,0.42057,0.9948,0.04232,0.424,0.94858,396,500,324,2,2,0.78173,0.98978,0.20805,0.19839
s2,axis,3,c4,0.00809,0.42057,0.9948,0.04232,0.424,0.94858,396,500,324,2,3,-0.56537,-0.19962,0.36575,0.32707
s2,axis,4,c2,0.00852,0.4123,0.99724,0.03037,0.41614,0.97525,373,500,324,2,2,0.8083,0.98997,0.18167,0.19832
s2,axis,4,c4,0.00852,0.4123,0.99724,0.03037,0.41614,0.97525,373,500,324,0,3,-0.5289,-0.18897,0.33994,0.3255
s2,axis,5,c2,0.00759,0.42879,0.99857,0.03604,0.43147,0.96851,389,500,324,2,2,0.80644,0.99093,0.18449,0.20863
s2,axis,5,c4,0.00759,0.42879,0.99857,0.03604,0.43147,0.96851,389,500,324,2,3,-0.54622,-0.19097,0.35525,0.33121
