mode,seed,dwell_bin,room_gen,room_seen,within_r2,repetition,n
translation,7,10-inf,0.5150208617491204,0.5302973023957744,0.9812850239769935,0.9922233922416165,27136
rotation,0,0-2,0.7211453428046931,0.772561403508772,-2.423703847663017,nan,397
rotation,0,2-5,0.916266861132697,0.8841605241605242,-0.5354783367726635,0.38792095371375884,585
rotation,0,5-10,0.9265381717729785,0.948314606741573,0.3280223889055517,-0.1859131457896567,930
rotation,0,10-inf,0.9989241087964625,1.0,0.8644679577480309,-0.20878433844128225,23410
rotation,1,0-2,0.7621331654258799,0.8078321678321678,-0.6695509117523256,nan,344
rotation,1,2-5,0.912420597729876,0.8566379128971177,0.13936288839754693,0.280287713643511,508
rotation,1,5-10,0.9715805012868716,0.945,0.537992520137309,-0.18147749633607818,817
rotation,1,10-inf,1.0,0.999792342631155,0.8725197472537133,-0.23846350831630275,21092
rotation,2,0-2,0.6716585088635905,0.7652680652680652,-0.30880676356758263,nan,363
rotation,2,2-5,0.9198305287027091,0.8530612244897959,0.37286970674629993,0.5737798844732875,535
rotation,2,5-10,0.9862404557502868,0.9495979619457049,0.642603275483772,-0.1802618084478475,865
rotation,2,10-inf,0.9998474114946447,0.9999499248873309,0.9008485305818397,-0.1923395986185707,22534
rotation,3,0-2,0.7483349083349082,0.7889009009009009,-1.9383925386875052,nan,383
rotation,3,2-5,0.9437987012987014,0.8587714987714987,0.09445046340407544,0.304069693033864,565
rotation,3,5-10,0.9943629784802894,0.9534561080417434,0.5873610710905368,-0.1885142240628761,913
rotation,3,10-inf,0.9626774847870182,0.9999553770638109,0.7847283854593233,-0.20623969491883956,23196
rotation,4,0-2,0.7229562788699108,0.8314749780509219,-1.2766292027762067,nan,379
rotation,4,2-5,0.9290204081632651,0.866398680684395,0.015158765852685562,0.507911680005684,561
rotation,4,5-10,0.9652559900820521,0.9565245794545157,0.255084207026012,-0.19921564180456597,903
rotation,4,10-inf,0.9743579121850064,0.9988802387414779,0.801474693396586,-0.16568345927741915,23018
rotation,5,0-2,0.6601387188902489,0.8024065540194572,-1.7092375495512164,nan,337
rotation,5,2-5,0.9145235892691952,0.8696636925188745,-0.0765979062459388,0.39755002404586276,502
rotation,5,5-10,0.9908894070619587,0.9555125558995528,0.7331022614799187,-0.22489594404337976,810
rotation,5,10-inf,0.9996889580093313,0.9997874883745217,0.7858967755940944,-0.18945244605496886,21793
rotation,6,0-2,0.7432286333656197,0.7191700759789598,-0.5717501579115692,nan,324
rotation,6,2-5,0.8930493859419911,0.8416405433646812,0.02738767305846872,0.32883122151202965,480
rotation,6,5-10,0.9833518205931998,0.961111111111111,0.5119836516049382,-0.16518091283915165,773
rotation,6,10-inf,0.999555836844148,0.9998526039940927,0.9026369365032261,-0.1886495600652459,21728
rotation,7,0-2,0.6828984364735252,0.7839903846153846,-1.5851627738620917,nan,360
rotation,7,2-5,0.9501503436426116,0.8838273195876288,-0.027831807275252095,0.21768345016270618,535
rotation,7,5-10,0.996103896103896,0.9539473684210525,0.6211252620223524,-0.10582629839409191,853
rotation,7,10-inf,0.9998599766627772,1.0,0.823337271722121,-0.19591205863719136,22346
