hd_mode,seed,condition,group,chance,across_episode_phase_acc,within_episode_balanced_acc,raw_r2,domain_r2,n_episodes,n_states,within_bal_acc_t0-10,majority_baseline_t0-10,p_z1_t0-10,within_bal_acc_t10-25,majority_baseline_t10-25,p_z1_t10-25,within_bal_acc_t25-50,majority_baseline_t25-50,p_z1_t25-50,within_bal_acc_t50-100,majority_baseline_t50-100,p_z1_t50-100,within_bal_acc_t100-inf,majority_baseline_t100-inf,p_z1_t100-inf
const,0,s2,c2,0.5,0.5146194185522972,0.5500018175976933,-0.03453737497329712,0.8793830513954163,206,40000,0.7249686353985717,0.9145631067961165,0.0854368932038835,0.6622728007300797,0.7715210355987054,0.2284789644012945,0.5635993740219092,0.6926829268292682,0.3073170731707317,0.5378229923689837,0.6139512195121951,0.3860487804878049,0.517975996951601,0.5335558408215662,0.4664441591784339
const,1,s2,c2,0.5,0.5175844995629055,0.5766485884897132,-0.032780015468597413,0.8803305506706238,206,40000,0.7694127395685761,0.9131067961165049,0.08689320388349514,0.6476270222008392,0.7624595469255664,0.23754045307443367,0.6217705363001638,0.689170731707317,0.3108292682926829,0.5706416463688416,0.6415609756097561,0.3584390243902439,0.5430495478638326,0.581206675224647,0.418793324775353
const,2,s2,c2,0.5,0.5264042808663261,0.5420250494979011,-0.02114042639732361,0.9051806569099426,206,40000,0.7151329225505769,0.9427184466019417,0.05728155339805825,0.6370330962647701,0.8255663430420712,0.1744336569579288,0.5854909317982979,0.7012682926829268,0.29873170731707316,0.5193877141875689,0.6479024390243903,0.35209756097560974,0.5148972845929025,0.555584082156611,0.44441591784338896
const,3,s2,c2,0.5,0.5432810282083637,0.5380390583085263,-0.029568368196487428,0.9014503240585328,206,40000,0.7366406812802305,0.920388349514563,0.07961165048543689,0.6225224148236701,0.7734627831715211,0.22653721682847897,0.5355226415834635,0.7104390243902439,0.2895609756097561,0.5309139728655824,0.616780487804878,0.38321951219512196,0.5123784392627608,0.5595378690629011,0.44046213093709885
const,4,s2,c2,0.5,0.5236418328287609,0.5521924055368368,-0.030803823471069337,0.8951615929603577,206,40000,0.7032164307371429,0.9485436893203884,0.05145631067961165,0.6553229649194994,0.8517799352750809,0.14822006472491908,0.6042379237103599,0.7192195121951219,0.2807804878048781,0.5520195530257394,0.6006829268292683,0.39931707317073173,0.5103567915447749,0.5548138639281129,0.44518613607188706
const,5,s2,c2,0.5,0.5300512226208829,0.5352096047648999,-0.01607094407081604,0.879447627067566,206,40000,0.7403428232295903,0.9427184466019417,0.05728155339805825,0.6440604346058689,0.8126213592233009,0.18737864077669902,0.5802002390914525,0.6995121951219512,0.30048780487804877,0.5088793026123468,0.6070243902439024,0.3929756097560976,0.5021950766872443,0.5414120667522464,0.45858793324775354
const,6,s2,c2,0.5,0.5158288634698204,0.5343554813628593,-0.029498493671417235,0.9054945707321167,206,40000,0.6720360824742269,0.941747572815534,0.05825242718446602,0.6099873033207515,0.8032362459546926,0.19676375404530744,0.5435818092154936,0.6835121951219512,0.3164878048780488,0.5205801394851468,0.6129756097560976,0.38702439024390245,0.5058683458962006,0.5362772785622594,0.4637227214377407
const,7,s2,c2,0.5,0.5199221546557674,0.5200972451574009,-0.04565593004226685,0.88380868434906,206,40000,0.7616996189474872,0.9131067961165049,0.08689320388349514,0.5876279448876907,0.7880258899676376,0.21197411003236247,0.5069535519125683,0.7024390243902439,0.2975609756097561,0.5008246032569236,0.6068292682926829,0.3931707317073171,0.5059063630120835,0.5218998716302953,0.4781001283697047
const,8,s2,c2,0.5,0.5253169969777723,0.5413571877669661,-0.0242719829082489,0.8936171531677246,206,40000,0.6997262778088825,0.9480582524271844,0.051941747572815535,0.6208527122142911,0.8394822006472492,0.16051779935275082,0.567147328414934,0.6926829268292682,0.3073170731707317,0.5374880161311172,0.5805853658536586,0.41941463414634145,0.5031319846555058,0.542798459563543,0.542798459563543
const,9,s2,c2,0.5,0.5252014815947021,0.527599940796173,-0.03612896203994751,0.8844992280006408,206,40000,0.7115723538310152,0.9310679611650485,0.06893203883495146,0.6027732138191255,0.7906148867313916,0.20938511326860842,0.5364266247327607,0.7233170731707317,0.2766829268292683,0.5316507703962222,0.6191219512195122,0.3808780487804878,0.4962689635769472,0.5157894736842106,0.4842105263157895
