condition,hd_mode,seed,seq_offline,seq_rate,seq_cellshuf,seq_wake
s2,full,1,0.5004701542290768,0.3,0.2597376772300991,0.5966490955153562
s2,full,2,0.47689026178941285,0.325,0.2618900395573137,0.5729403973509933
s2,full,3,0.5111612960576026,0.475,0.18643593048579937,0.5654712653895728
s2,full,4,0.503366460731588,0.225,0.21936139383972622,0.6217238099471087
s2,full,5,0.4901003600160007,0.325,0.30405884705986935,0.5323329036846083
s2,full,6,0.6161844526423396,0.475,0.2358648828836837,0.5539429307969244
s2,full,7,0.5970299124405529,0.425,0.29703524601093384,0.5923392150762256
s2,full,8,0.47993866394061957,0.2,0.2739970665362905,0.5153251255611361
s2,full,9,0.5905989599537758,0.375,0.31859771545402016,0.5088831503622384
s2,parity,0,0.340539668429708,0.275,0.21282456998088808,0.5495664696208721
s2,parity,1,0.3288198586603849,0.2,0.34536014933997067,0.5966490955153562
s2,parity,2,0.34348619938663943,0.175,0.21014640650695587,0.5729403973509933
s2,parity,3,0.3831889417307436,0.075,0.2620330681363616,0.5654712653895728
s2,parity,4,0.39660376016711857,0.225,0.24432748122138764,0.6217238099471087
s2,parity,5,0.37583270367571886,0.175,0.277574292190764,0.5323329036846083
s2,parity,6,0.4312790790701809,0.225,0.25017831903640164,0.5539429307969244
s2,parity,7,0.31415591804080184,0.1,0.23365100671140943,0.5923392150762256
s2,parity,8,0.2634498422152095,0.1,0.23218320814258414,0.5153251255611361
s2,parity,9,0.37958247033201475,0.2,0.18381234721543177,0.5088831503622384
s4,axis,0,0.18597146539846215,0.1,0.14507453664607314,0.5495664696208721
s4,axis,1,0.25991528512378326,0.175,0.13507169207520336,0.5966490955153562
s4,axis,2,0.21302893461931643,0.2,0.1811420952042313,0.5729403973509933
s4,axis,3,0.14390435130450244,0.075,0.17846339837326103,0.5654712653895728
s4,axis,6,0.1955318903062358,0.175,0.19954842437441664,0.5539429307969244
s4,axis,7,0.20609573758833727,0.125,0.12240108449264413,0.5923392150762256
s4,axis,8,0.20280359127072317,0.15,0.19091995199786654,0.5153251255611361
s4,axis,9,0.20083532601448956,0.15,0.1632565891817414,0.5088831503622384
s4,const,0,0.20551731188052802,0.05,0.18763945064225077,0.5495664696208721
s4,const,1,0.3304646428730166,0.325,0.2799337748344371,0.5966490955153562
s4,const,2,0.2550977376772301,0.25,0.15322032090315124,0.5729403973509933
s4,const,3,0.21214196186497175,0.2,0.23379990221787636,0.5654712653895728
s4,const,6,0.1799570647584337,0.125,0.14742397439886218,0.5539429307969244
s4,const,7,0.17371358727054537,0.15,0.12939535090448467,0.5923392150762256
s4,const,8,0.20731499177741233,0.125,0.19158593715276234,0.5153251255611361
s4,const,9,0.1736347393217476,0.225,0.11615245122005424,0.5088831503622384
s4,full,0,0.5027613671718743,0.3,0.22739241744077515,0.5495664696208721
s4,full,1,0.5709858215920708,0.425,0.27172976576736746,0.5966490955153562
s4,full,2,0.4809645762033868,0.375,0.2163086359393751,0.5729403973509933
s4,full,3,0.5582450775590027,0.45,0.2520304902440108,0.5654712653895728
s4,full,6,0.5191870749811104,0.3,0.26403217920796485,0.5539429307969244
s4,full,7,0.42520263122805463,0.2,0.259523178807947,0.5923392150762256
s4,full,8,0.4219031956975866,0.15,0.3008550602248989,0.5153251255611361
s4,full,9,0.5741746744299747,0.35,0.31279639095070894,0.5088831503622384
s4,parity,0,0.3568720387572781,0.275,0.2640180452464554,0.5495664696208721
s4,parity,1,0.3962591226276723,0.3,0.22016365171785415,0.5966490955153562
s4,parity,2,0.3409389750655585,0.2,0.24221218720832036,0.5729403973509933
s4,parity,3,0.30892555224676654,0.25,0.22669629761322727,0.5654712653895728
s4,parity,6,0.36137294990888486,0.375,0.18274145517578558,0.5539429307969244
s4,parity,7,0.3015959820436464,0.2,0.18885577136761636,0.5923392150762256
s4,parity,8,0.2790999599982221,0.2,0.20935339348415485,0.5153251255611361
s4,parity,9,0.40005546913196144,0.25,0.24897986577181208,0.5088831503622384
