d_prime,tint,seed,room_gen,room_seen,within_r2,repetition,rate_asymmetry,n_cells_matched,n_states_in_rooms,acc_max_T1,acc_max_T10
0.4286,0.001768,4,0.5113740225684561,0.5544413610421225,0.9622115054132067,0.9965390818146322,0.018618647009134293,36,30098,0.5848434409812522,0.7510114591414906
0.4286,0.001768,5,0.513002301988114,0.5543537939679222,0.9324972483100982,0.996097550792169,0.04519599303603172,36,29655,0.5848434409812522,0.7510114591414906
0.4286,0.001768,6,0.5199056891454849,0.5556926839073603,0.9251435199353886,0.9971381438258893,0.0353638119995594,36,30238,0.5848434409812522,0.7510114591414906
0.4286,0.001768,7,0.5167239226742826,0.5645576317556911,0.9601234631636292,0.996657315243312,0.008931837975978851,36,30547,0.5848434409812522,0.7510114591414906
0.8571,0.003535,0,0.5289768771376105,0.5993486952139966,0.974281614867488,0.9974311602465014,0.01899363473057747,36,31682,0.6658746304225289,0.9123221366231156
0.8571,0.003535,1,0.5425196831393376,0.596709905252241,0.9730392255529283,0.9967945277733767,0.03304998576641083,36,30243,0.6658746304225289,0.9123221366231156
0.8571,0.003535,2,0.5119221627933701,0.6125988752779599,0.9285097221498555,0.9962940952780086,0.01950034871697426,36,30561,0.6658746304225289,0.9123221366231156
0.8571,0.003535,3,0.5241647669492877,0.6008196721311475,0.9313306115735402,0.9973895222963274,0.018971651792526245,36,28993,0.6658746304225289,0.9123221366231156
0.8571,0.003535,4,0.5370041612897298,0.5955478774114804,0.9717365176552661,0.9971146970277911,0.017537347972393036,36,30098,0.6658746304225289,0.9123221366231156
0.8571,0.003535,5,0.5308225989133941,0.6096649341636272,0.954993312874873,0.9962198705679433,0.04104987531900406,36,29655,0.6658746304225289,0.9123221366231156
0.8571,0.003535,6,0.5073773412406015,0.6010622065735908,0.7849420565377795,0.9971217110267114,0.03244449198246002,36,30238,0.6658746304225289,0.9123221366231156
0.8571,0.003535,7,0.5299824253623334,0.6032991744393581,0.9660875122938789,0.9964927177330652,0.011196700856089592,36,30547,0.6658746304225289,0.9123221366231156
1.2857,0.005302,0,0.5298136389806525,0.6410427512121009,0.971319192904828,0.996914857102615,0.014103265479207039,36,31682,0.7398392821189722,0.9789671804627623
1.2857,0.005302,1,0.5389463940761215,0.6287090350187544,0.979591853291916,0.9973446879000778,0.03347540646791458,36,30243,0.7398392821189722,0.9789671804627623
1.2857,0.005302,2,0.5356877183728931,0.6483465913864664,0.9349717120179637,0.9964805623151161,0.0199894942343235,36,30561,0.7398392821189722,0.9789671804627623
1.2857,0.005302,3,0.5313809721184912,0.6261904761904763,0.9404743326879939,0.9973410447929075,0.0213693268597126,36,28993,0.7398392821189722,0.9789671804627623
1.2857,0.005302,4,0.5453163329535968,0.6287564780123727,0.9648313384864771,0.9965059847518242,0.01830475777387619,36,30098,0.7398392821189722,0.9789671804627623
1.2857,0.005302,5,0.5347476884310096,0.6402283245388058,0.9653928024540569,0.9962094129751078,0.04421177878975868,36,29655,0.7398392821189722,0.9789671804627623
1.2857,0.005302,6,0.5407363073552031,0.6386519943728712,0.8872882162242691,0.9979918331824882,0.039123933762311935,36,30238,0.7398392821189722,0.9789671804627623
1.2857,0.005302,7,0.5293769547510073,0.6504956017692112,0.9526943372801456,0.9967378718995001,0.008842827752232552,36,30547,0.7398392821189722,0.9789671804627623
1.7143,0.00707,0,0.5529537151770775,0.6755166419536031,0.9768244037364138,0.9970786443929329,0.018225472420454025,36,31682,0.804319004377222,0.9966413764834163
1.7143,0.00707,1,0.5516544723707193,0.6570738237544116,0.9746066400075932,0.996948410410739,0.04089939221739769,36,30243,0.804319004377222,0.9966413764834163
1.7143,0.00707,2,0.5330459049018679,0.6946715397153467,0.9326522839398741,0.9959345608157755,0.018438123166561127,36,30561,0.804319004377222,0.9966413764834163
1.7143,0.00707,3,0.5505659560192895,0.6675644028103045,0.9651422814781772,0.997412435149742,0.02195754460990429,36,28993,0.804319004377222,0.9966413764834163
1.7143,0.00707,4,0.5449180729989301,0.663140381167901,0.9669677873874225,0.9972800180788033,0.013498926535248756,36,30098,0.804319004377222,0.9966413764834163
1.7143,0.00707,5,0.5436959608193221,0.6700466191674178,0.9526132547020858,0.9956552237670194,0.039532244205474854,36,29655,0.804319004377222,0.9966413764834163
1.7143,0.00707,6,0.5191083671803046,0.661692014717149,0.636505853094875,0.9975859800931581,0.03617991507053375,36,30238,0.804319004377222,0.9966413764834163
1.7143,0.00707,7,0.5444892261544384,0.6923902675852077,0.9494615281542303,0.9969538309777943,0.008448470383882523,36,30547,0.804319004377222,0.9966413764834163
2.1429,0.008837,0,0.5499666590712715,0.7102865273554111,0.9764820635122643,0.9974188524327618,0.014424621127545834,36,31682,0.8580164294110215,0.9996482640068332
2.1429,0.008837,1,0.5622698340885782,0.6898225154732162,0.9784940298334014,0.9971338751615474,0.0344441682100296,36,30243,0.8580164294110215,0.9996482640068332
2.1429,0.008837,2,0.5390672203727904,0.7064868791763989,0.9579938159353627,0.9965413257318936,0.020551692694425583,36,30561,0.8580164294110215,0.9996482640068332
2.1429,0.008837,3,0.5538404296574091,0.6852849336455895,0.9691593303322683,0.997926619729659,0.02108166739344597,36,28993,0.8580164294110215,0.9996482640068332
2.1429,0.008837,4,0.5776167596783377,0.6772097502983883,0.961835670463287,0.9969411769677184,0.02080891653895378,36,30098,0.8580164294110215,0.9996482640068332
2.1429,0.008837,5,0.5461347597745261,0.6886611133532232,0.9489273156043255,0.9967338809888787,0.048912905156612396,36,29655,0.8580164294110215,0.9996482640068332
2.1429,0.008837,6,0.5578081852840108,0.6977856504300848,0.9260099833322414,0.9975736041860839,0.03300653025507927,36,30238,0.8580164294110215,0.9996482640068332
2.1429,0.008837,7,0.5575158963145136,0.7033751091106836,0.9459813415350384,0.9966175242948968,0.009249567054212093,36,30547,0.8580164294110215,0.9996482640068332
2.5714,0.010604,0,0.6297070524211735,0.7361696426423152,0.9796158458720938,0.9969083300761651,0.018650151789188385,36,31682,0.9007261093755631,0.9999760598937718
2.5714,0.010604,1,0.6057227432499884,0.7343371556633309,0.9784373562025335,0.9975372440110345,0.03142247349023819,36,30243,0.9007261093755631,0.9999760598937718
2.5714,0.010604,2,0.5860811652154773,0.7550877652870898,0.9411938491691434,0.9967079044928687,0.023260142654180527,36,30561,0.9007261093755631,0.9999760598937718
2.5714,0.010604,3,0.5695506714389199,0.7193598750975801,0.9609776504952221,0.9974214456106865,0.014656509272754192,36,28993,0.9007261093755631,0.9999760598937718
2.5714,0.010604,4,0.5795408173669083,0.7293367109070803,0.9625236128165543,0.9974966636072549,0.01835271716117859,36,30098,0.9007261093755631,0.9999760598937718
2.5714,0.010604,5,0.5709870144201771,0.7537229767872253,0.8373986075852582,0.9963573101812531,0.051757462322711945,36,29655,0.9007261093755631,0.9999760598937718
2.5714,0.010604,6,0.6080222801940198,0.7363105839901558,0.7886270257184695,0.9969763271435752,0.03080156072974205,36,30238,0.9007261093755631,0.9999760598937718
2.5714,0.010604,7,0.5889913291852923,0.7623533707921163,0.9664335294093146,0.9969355159342657,0.011947724036872387,36,30547,0.9007261093755631,0.9999760598937718
3.0,0.012372,0,0.6059467296449793,0.7557579769978287,0.9739463077510081,0.9965557040664065,0.01832437515258789,36,31682,0.9331927987311419,0.999998949282022
3.0,0.012372,1,0.5953342458389853,0.7585802276858227,0.9799119156788404,0.9974834323442892,0.03791893646121025,36,30243,0.9331927987311419,0.999998949282022
3.0,0.012372,2,0.5463964093163736,0.7700496434832776,0.9528367993815922,0.9960101789624733,0.023585908114910126,36,30561,0.9331927987311419,0.999998949282022
3.0,0.012372,3,0.6014464999621019,0.7544106167056986,0.9581172140325596,0.9974851248504337,0.018682138994336128,36,28993,0.9331927987311419,0.999998949282022
3.0,0.012372,4,0.5862172245713634,0.7548307603454221,0.9641535153353786,0.9973127747331331,0.014999832026660442,36,30098,0.9331927987311419,0.999998949282022
3.0,0.012372,5,0.6184102368993312,0.7539002566065823,0.9266822247604323,0.9963579066412497,0.046858903020620346,36,29655,0.9331927987311419,0.999998949282022
3.0,0.012372,6,0.5833424597086477,0.7498128883181127,0.923758526571433,0.9974921716643386,0.03937483951449394,36,30238,0.9331927987311419,0.999998949282022
3.0,0.012372,7,0.6059127069480887,0.7714321782160978,0.9621983072170626,0.9971965968844241,0.014582476578652859,36,30547,0.9331927987311419,0.999998949282022
