condition,hd_mode,seed,pv_orbit,pv_random
s2,full,2,0.27377936244010925,0.08076579868793488
s2,full,3,0.2886947989463806,0.09679599106311798
s2,full,4,0.265945166349411,0.08815249800682068
s2,full,5,0.31584325432777405,0.09464789181947708
s2,full,6,0.2421988844871521,0.06058964878320694
s2,full,7,0.26648980379104614,0.08334217965602875
s2,full,8,0.3037220537662506,0.10045617818832397
s2,full,9,0.3090960681438446,0.10917071253061295
s2,parity,0,0.5452084541320801,0.22869136929512024
s2,parity,1,0.5965309143066406,0.26872456073760986
s2,parity,2,0.5973942279815674,0.24744200706481934
s2,parity,3,0.5702415704727173,0.28750771284103394
s2,parity,4,0.5384726524353027,0.22280174493789673
s2,parity,5,0.5909644365310669,0.24295102059841156
s2,parity,6,0.5602930784225464,0.1801510751247406
s2,parity,7,0.570525050163269,0.2407955527305603
s2,parity,8,0.5994004011154175,0.2910667955875397
s2,parity,9,0.6084722280502319,0.27861762046813965
s4,axis,0,0.9786580801010132,0.3879435062408447
s4,axis,1,0.9784889221191406,0.41879624128341675
s4,axis,2,0.9758014678955078,0.27722465991973877
s4,axis,3,0.9740878343582153,0.2783474326133728
s4,axis,6,0.9862414002418518,0.6330761313438416
s4,axis,7,0.972629189491272,0.2401573210954666
s4,axis,8,0.9793461561203003,0.43270647525787354
s4,axis,9,0.9772493839263916,0.40558290481567383
s4,const,0,0.9735868573188782,0.36016106605529785
s4,const,1,0.973713219165802,0.30600014328956604
s4,const,2,0.973511815071106,0.35142263770103455
s4,const,3,0.9723825454711914,0.3243371248245239
s4,const,6,0.9741373658180237,0.3294426202774048
s4,const,7,0.971347451210022,0.3234591484069824
s4,const,8,0.9821879863739014,0.5783954858779907
s4,const,9,0.9749200344085693,0.365362286567688
s4,full,0,0.26167383790016174,0.1183699294924736
s4,full,1,0.2743379473686218,0.10983000695705414
s4,full,2,0.23947301506996155,0.05221884697675705
s4,full,3,0.24025321006774902,0.09761207550764084
s4,full,6,0.2558896243572235,0.02721501514315605
s4,full,7,0.2297038733959198,0.08604395389556885
s4,full,8,0.25782448053359985,0.10557737946510315
s4,full,9,0.2811189591884613,0.11609838902950287
s4,parity,0,0.4958079755306244,0.21405187249183655
s4,parity,1,0.47921812534332275,0.22503213584423065
s4,parity,2,0.455874502658844,0.17516463994979858
s4,parity,3,0.5106139183044434,0.2655141055583954
s4,parity,6,0.4753662943840027,0.18029186129570007
s4,parity,7,0.51433265209198,0.2634357810020447
s4,parity,8,0.520325779914856,0.2596200704574585
s4,parity,9,0.4966946542263031,0.22517278790473938
