condition,hd_mode,k,seed,group,chance,phase_acc,raw_r2,domain_r2,spatial,path
s4,full,5,3,c2,0.5,0.9862520681419961,0.9813395738601685,0.8666565895080567,0.9813395738601685,/root/runs/hd_invariance/s4/full/seed_03/ckpt_final.pt
s4,full,5,6,c2,0.5,0.9862578280908935,0.9813561558723449,0.8699263095855713,0.9813561558723449,/root/runs/hd_invariance/s4/full/seed_06/ckpt_final.pt
s4,full,5,7,c2,0.5,0.9826725688518241,0.9823126554489136,0.8789598703384399,0.9823126554489136,/root/runs/hd_invariance/s4/full/seed_07/ckpt_final.pt
s4,full,5,8,c2,0.5,0.9832080683504772,0.9824104309082031,0.8762866854667664,0.9824104309082031,/root/runs/hd_invariance/s4/full/seed_08/ckpt_final.pt
s4,full,5,9,c2,0.5,0.9836973644799659,0.9822718620300293,0.865314245223999,0.9822718620300293,/root/runs/hd_invariance/s4/full/seed_09/ckpt_final.pt
s4,parity,5,0,c2,0.5,0.9272494951000676,0.9003968954086303,0.7315591812133789,0.9003968954086303,/root/runs/hd_invariance/s4/parity/seed_00/ckpt_final.pt
s4,parity,5,1,c2,0.5,0.9340750095670753,0.9000264167785644,0.741757845878601,0.9000264167785644,/root/runs/hd_invariance/s4/parity/seed_01/ckpt_final.pt
s4,parity,5,2,c2,0.5,0.9204713698274295,0.8902994513511657,0.7472830533981323,0.8902994513511657,/root/runs/hd_invariance/s4/parity/seed_02/ckpt_final.pt
s4,parity,5,3,c2,0.5,0.9377025228823346,0.9021387457847595,0.7752610445022583,0.9021387457847595,/root/runs/hd_invariance/s4/parity/seed_03/ckpt_final.pt
s4,parity,5,6,c2,0.5,0.9367549131301466,0.9097981810569763,0.7646463632583618,0.9097981810569763,/root/runs/hd_invariance/s4/parity/seed_06/ckpt_final.pt
s4,parity,5,7,c2,0.5,0.934123479553102,0.9049911975860596,0.7394683957099915,0.9049911975860596,/root/runs/hd_invariance/s4/parity/seed_07/ckpt_final.pt
s4,parity,5,8,c2,0.5,0.9420099422466587,0.8970764994621276,0.7633453607559204,0.8970764994621276,/root/runs/hd_invariance/s4/parity/seed_08/ckpt_final.pt
s4,parity,5,9,c2,0.5,0.9337044517816399,0.8985864400863648,0.7570742964744568,0.8985864400863648,/root/runs/hd_invariance/s4/parity/seed_09/ckpt_final.pt
