condition,hd_mode,k,seed,step,P0,P1,P2,P3,RA,odd,path
s1,parity,5,6,final,0.30624436366501534,0.2368135676678864,0.22012850099921186,0.2368135676678864,0.08611586266580348,0.4736271353357728,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/parity/seed_06/ckpt_final.pt
s1,parity,5,7,final,0.3068499405383315,0.2383700236107435,0.216410012240181,0.2383700236107435,0.09043992829815053,0.476740047221487,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/parity/seed_07/ckpt_final.pt
s1,parity,5,8,final,0.3057662355884093,0.23656231379266182,0.22110913682626682,0.23656231379266182,0.08465709876214252,0.47312462758532364,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/parity/seed_08/ckpt_final.pt
s1,parity,5,9,final,0.30278017992301604,0.23784152449783302,0.22153677108131853,0.23784152449783302,0.08124340884169746,0.47568304899566605,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/parity/seed_09/ckpt_final.pt
s2,axis,5,0,final,0.35371042277950737,0.15598957894980295,0.3343104193208865,0.15598957894980295,0.019400003458620866,0.3119791578996059,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/axis/seed_00/ckpt_final.pt
s2,axis,5,1,final,0.35107382605844795,0.1549595837642524,0.3390070064130473,0.1549595837642524,0.012066819645400628,0.3099191675285048,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/axis/seed_01/ckpt_final.pt
s2,axis,5,2,final,0.35476138900512755,0.15563461232079157,0.33396938635328927,0.15563461232079157,0.020792002651838285,0.31126922464158313,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/axis/seed_02/ckpt_final.pt
s2,axis,5,3,final,0.3531947229322794,0.15593147794018614,0.3349423211873492,0.15593147794018614,0.018252401744930185,0.3118629558803723,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/axis/seed_03/ckpt_final.pt
s2,axis,5,4,final,0.353439364463527,0.1550775177843984,0.3364055999676765,0.1550775177843984,0.017033764495850475,0.3101550355687968,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/axis/seed_04/ckpt_final.pt
s2,axis,5,5,final,0.34652711202216585,0.1590779778613949,0.3353169322550441,0.1590779778613949,0.011210179767121744,0.3181559557227898,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/axis/seed_05/ckpt_final.pt
s2,axis,5,6,final,0.34900957484293194,0.15656508751468975,0.3378602501276885,0.15656508751468975,0.011149324715243436,0.3131301750293795,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/axis/seed_06/ckpt_final.pt
s2,axis,5,7,final,0.3487033458754048,0.15624135173865725,0.33881395064728104,0.15624135173865725,0.009889395228123763,0.3124827034773145,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/axis/seed_07/ckpt_final.pt
s2,axis,5,8,final,0.3558122344622958,0.15563217427861675,0.33292341698047073,0.15563217427861675,0.022888817481825086,0.3112643485572335,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/axis/seed_08/ckpt_final.pt
s2,axis,5,9,final,0.3564901053988898,0.1549065601672334,0.3336967742666432,0.1549065601672334,0.022793331132246637,0.3098131203344668,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/axis/seed_09/ckpt_final.pt
s2,const,5,0,final,0.40285771956849004,0.1703398397656072,0.25646260090029577,0.1703398397656072,0.14639511866819424,0.3406796795312144,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/const/seed_00/ckpt_final.pt
s2,const,5,1,final,0.4055261175186021,0.16948789972886782,0.2554980830236617,0.16948789972886782,0.15002803449494048,0.33897579945773565,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/const/seed_01/ckpt_final.pt
s2,const,5,2,final,0.4035539411055004,0.17045317680515493,0.25553970528419023,0.17045317680515493,0.14801423582131013,0.34090635361030985,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/const/seed_02/ckpt_final.pt
s2,const,5,3,final,0.4038429787351421,0.16891835172533182,0.25832031781419396,0.16891835172533182,0.14552266092094815,0.33783670345066363,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/const/seed_03/ckpt_final.pt
s2,const,5,4,final,0.4098818176149809,0.1677041004996914,0.25470998138563666,0.1677041004996914,0.1551718362293442,0.3354082009993828,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/const/seed_04/ckpt_final.pt
s2,const,5,5,final,0.4036818566542028,0.17027797131258368,0.2557622007206294,0.17027797131258368,0.14791965593357348,0.34055594262516736,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/const/seed_05/ckpt_final.pt
s2,const,5,6,final,0.4096687828584451,0.1687586934900302,0.2528138301614942,0.1687586934900302,0.1568549526969509,0.3375173869800604,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/const/seed_06/ckpt_final.pt
s2,const,5,7,final,0.4042751173735235,0.17036591916693833,0.25499304429259967,0.17036591916693833,0.14928207308092387,0.34073183833387666,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/const/seed_07/ckpt_final.pt
s2,const,5,8,final,0.4077859536531872,0.1706780640813619,0.25085791818408937,0.1706780640813619,0.15692803546909775,0.3413561281627238,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/const/seed_08/ckpt_final.pt
s2,const,5,9,final,0.4097819657986007,0.16773683593175082,0.254744362337898,0.16773683593175082,0.15503760346070267,0.33547367186350163,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/const/seed_09/ckpt_final.pt
s2,full,5,0,final,0.28910356246251295,0.22776828835749816,0.2553598608224907,0.22776828835749816,0.03374370164002228,0.4555365767149963,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/full/seed_00/ckpt_final.pt
s2,full,5,1,final,0.29532763146877655,0.2231686397719781,0.2583350889872674,0.2231686397719781,0.03699254248150913,0.4463372795439562,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/full/seed_01/ckpt_final.pt
s2,full,5,2,final,0.29539393268212455,0.22497115846006194,0.2546637503977522,0.22497115846006194,0.040730182284372335,0.4499423169201239,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/full/seed_02/ckpt_final.pt
s2,full,5,3,final,0.2878321715405401,0.22800570082326746,0.25615642681292555,0.22800570082326746,0.031675744727614516,0.4560114016465349,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/full/seed_03/ckpt_final.pt
s2,full,5,4,final,0.2945342598593816,0.2259317254199137,0.25360228930079093,0.2259317254199137,0.040931970558590665,0.4518634508398274,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/full/seed_04/ckpt_final.pt
s2,full,5,5,final,0.29505246341412045,0.222182528116207,0.2605824803534653,0.222182528116207,0.034469983060655136,0.444365056232414,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/full/seed_05/ckpt_final.pt
