condition,seed,lesion_mode,dose,n_units,frac_place,spatial_info,sparsity,selectivity,coherence,n_fields,field_area,mean_rate,peak_rate,infield_rate,outfield_rate,field_contrast,dir_info_marginal,dir_info_field,stability,ev_pos,ev_hd,ev_add,ev_conj,mixed,hd_rayleigh,frac_mixed,phase_acc,ev_orbit
s1,5,randomize,0.6,500,0.888,0.9099,0.4435,5.0109,1.8939,1.6014,48.534,0.238,1.124,0.4888,0.0482,14.3545,0.0753,0.0863,0.9202,0.3909,0.0255,0.4142,0.5392,0.125,0.1633,0.87,0.9509,0.2021
s1,5,randomize,0.75,500,0.844,0.7914,0.4789,4.7104,1.8661,1.5545,52.2501,0.2356,1.0505,0.4362,0.0448,34.512,0.0383,0.0457,0.9041,0.332,0.0126,0.3435,0.4563,0.1128,0.1146,0.83,0.9339,0.1791
s1,5,randomize,0.9,500,0.742,0.7138,0.5054,4.5598,1.7985,1.5984,50.8991,0.2347,1.0105,0.4006,0.0459,41.5419,0.0139,0.0192,0.8849,0.2759,0.0042,0.2797,0.3867,0.107,0.0669,0.8,0.9059,0.1608
s1,5,randomize,1.0,500,0.654,0.6676,0.5258,4.4607,1.7291,1.7125,50.2501,0.2338,0.9841,0.3795,0.0428,37.1672,0.0055,0.0088,0.868,0.2367,0.0015,0.2382,0.3438,0.1056,0.0406,0.784,0.8657,0.1523
s2,0,silence,0.0,500,0.954,1.1973,0.3871,5.634,1.7941,1.9057,40.0998,0.2449,1.2881,0.5889,0.0527,48.6221,0.3537,0.3465,0.9495,0.5072,0.1024,0.6036,0.8381,0.2345,0.3108,0.908,0.9823,0.2966
s2,0,silence,0.15,500,0.952,1.1904,0.3846,5.6505,1.8269,1.8655,40.1599,0.2449,1.293,0.5922,0.0534,33.0244,0.2486,0.2474,0.9494,0.5105,0.0786,0.5842,0.795,0.2108,0.2705,0.898,0.9768,0.2973
s2,0,silence,0.3,500,0.954,1.175,0.3856,5.6516,1.8487,1.8344,40.6035,0.2448,1.2906,0.5885,0.0532,27.1003,0.1769,0.1795,0.9463,0.5086,0.0584,0.5632,0.7547,0.1915,0.2318,0.894,0.9713,0.2953
s2,0,silence,0.45,500,0.952,1.1531,0.3879,5.619,1.8581,1.8046,41.0791,0.2442,1.2765,0.5774,0.0523,24.1442,0.1195,0.1259,0.9422,0.4994,0.0403,0.537,0.7125,0.1755,0.1918,0.894,0.9658,0.2885
s2,0,silence,0.6,500,0.944,1.1225,0.3919,5.6095,1.8569,1.6928,43.5459,0.2432,1.2587,0.5608,0.052,64.4873,0.076,0.0844,0.9329,0.4792,0.0256,0.503,0.6649,0.162,0.1532,0.89,0.9564,0.2762
s2,0,silence,0.75,500,0.928,1.0031,0.418,5.4534,1.7808,1.6681,45.6156,0.2401,1.1886,0.5048,0.0508,71.4277,0.0413,0.0522,0.9067,0.4106,0.0137,0.4235,0.5735,0.1501,0.113,0.892,0.9082,0.2453
s2,0,silence,0.9,500,0.836,0.7969,0.4815,5.1052,1.5783,1.7823,48.4562,0.2288,1.014,0.3926,0.0482,105.6991,0.012,0.0209,0.826,0.2699,0.0034,0.2731,0.411,0.1379,0.0587,0.856,0.7218,0.2103
