condition,seed,steps,srsa_euclid,srsa_city,loss,manifold_id,pca_variance_2d,mds_stress,mean_field_coherence,DTG_series,observation_discriminability
S2,seed_01,14000,0.6225169420414859,0.6282787173407128,0.006442083045840263,5.005085829114141,0.43572667241096497,0.29361746701203423,7.120431607202137,-0.0057617752992269455,0.33600394439152487
S2,seed_01,15000,0.619257294115673,0.6203229604504532,0.0061081089079380035,4.937442548555662,0.43163546919822693,0.2855452070193183,9.499818490671528,-0.0010656663347802242,0.33600394439152487
S2,seed_01,16000,0.6273876763564505,0.6260856766758253,0.005568886175751686,4.877255834041873,0.43211910128593445,0.28653320381320757,8.740200279554356,0.0013019996806252765,0.33600394439152487
S2,seed_01,17000,0.6266813171461728,0.6265899773156959,0.005566250067204237,5.231887617709875,0.4255962073802948,0.2944656012522541,6.510670396004247,9.133983047693306e-05,0.33600394439152487
S2,seed_01,18000,0.6288217964179177,0.6330120626538557,0.005847673863172531,5.179922819698515,0.43012329936027527,0.28976794547784085,6.288572865445485,-0.004190266235937989,0.33600394439152487
S2,seed_01,19000,0.6286828703697798,0.6318541671271007,0.0051930430345237255,4.999509500974186,0.41972634196281433,0.2991659954471561,5.94818412212803,-0.003171296757320974,0.33600394439152487
S2,seed_01,20000,0.6283238352355216,0.6290554266762282,0.00516645610332489,5.487289622577966,0.41837435960769653,0.2989803609376092,6.009295812578265,-0.0007315914407065582,0.33600394439152487
S2,seed_01,21000,0.6367775568231612,0.6405175776768645,0.00498333340510726,5.0282557469027,0.4108879268169403,0.30786056676143975,7.19403726469995,-0.0037400208537032853,0.33600394439152487
S2,seed_01,22000,0.6357334515933288,0.6386377192554482,0.00487843994051218,5.298250201377672,0.41096365451812744,0.31262540286155455,6.133044265044182,-0.0029042676621193753,0.33600394439152487
S2,seed_01,23000,0.6430335342156311,0.6509966842061904,0.004938099067658186,4.861406316328412,0.4100301265716553,0.3096226651930963,6.1217888430902745,-0.007963149990559248,0.33600394439152487
S2,seed_01,24000,0.6443552527732367,0.6467670090225388,0.004374348558485508,5.043667366928271,0.4051875174045563,0.3131985944027948,6.489154969140915,-0.0024117562493021216,0.33600394439152487
S2,seed_01,25000,0.6442580699312095,0.6516436823343561,0.004155466798692942,5.567159853011617,0.39499497413635254,0.3196299514535775,7.0545139848432905,-0.007385612403146613,0.33600394439152487
